id	type	language	institutionID	institutionCode	collectionCode	ownerInstitutionCode	basisOfRecord	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	occurrenceStatus	preparations	disposition	otherCatalogNumbers	samplingProtocol	sampleSizeValue	samplingEffort	eventDate	eventTime	year	month	day	habitat	eventRemarks	continent	country	countryCode	stateProvince	county	locality	verbatimLocality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	decimalLatitude	decimalLongitude	geodeticDatum	identifiedBy	dateIdentified	identificationQualifier	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName
UPTC:26:27996	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27996	27996		D.A-Moreno 4670	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Pottiaceae	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae			Familia			Musgo
UPTC:26:27997	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27997	27997		D.A-Moreno 4671	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Pottiaceae	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae			Familia			Musgo
UPTC:26:27998	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27998	27998		D.A-Moreno 4672	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Herbertus	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Herbertaceae	Herbertus		Género	sp.		Hepática
UPTC:26:27999	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:27999	27999		D.A-Moreno 4673	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Rhacopilopsis	Plantae	Bryophyta	Bryopsida	Hypnales	Racopilaceae	Rhacopilopsis		Género	sp.		Musgo
UPTC:26:28000	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28000	28000		D.A-Moreno 4674	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Racomitrium	Plantae	Bryophyta	Bryopsida	Grimmiales	Grimmiaceae	Racomitrium		Género	sp.		Musgo
UPTC:26:28001	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28001	28001		D.A-Moreno 4675	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Frullania	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Frullaniaceae	Frullania		Género	sp.		Hepática
UPTC:26:28002	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28002	28002		D.A-Moreno 4676	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Terrícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Rhacopilopsis	Plantae	Bryophyta	Bryopsida	Hypnales	Racopilaceae	Rhacopilopsis		Género	sp.		Musgo
UPTC:26:28003	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28003	28003		D.A-Moreno 4677	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Madera en descomposición	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Thuidium	Plantae	Bryophyta	Bryopsida	Hypnales	Thuidiaceae	Thuidium		Género	sp.		Musgo
UPTC:26:28004	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28004	28004		D.A-Moreno 4678	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Terrícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Hypnaceae	Plantae	Bryophyta	Bryopsida	Hypnales	Hypnaceae			Familia			Musgo
UPTC:26:28005	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28005	28005		D.A-Moreno 4679	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Terrícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Breutelia	Plantae	Bryophyta	Bryopsida	Bartramiales	Bartramiaceae	Breutelia		Género	sp.		Musgo
UPTC:26:28006	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28006	28006		D.A-Moreno 4680	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Plagiochila	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Plagiochilaceae	Plagiochila		Género	sp.		Hepática
UPTC:26:28007	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28007	28007		D.A-Moreno 4681	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Acrobolbus	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Acrobolbaceae	Acrobolbus		Género	sp.		Hepática
UPTC:26:28008	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28008	28008		D.A-Moreno 4682	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Metzgeria	Plantae	Marchantiophyta	Jungermanniopsida	Metzgeriales	Metzgeriaceae	Metzgeria		Género	sp.		Hepática
UPTC:26:28009	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28009	28009		D.A-Moreno 4683	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Frullania	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Frullaniaceae	Frullania		Género	sp.		Hepática
UPTC:26:28010	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28010	28010		D.A-Moreno 4684	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Campylopus	Plantae	Bryophyta	Bryopsida	Dicranales	Leucobryaceae	Campylopus		Género	sp.		Musgo
UPTC:26:28011	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28011	28011		D.A-Moreno 4685	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Plagiochila	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Plagiochilaceae	Plagiochila		Género	sp.		Hepática
UPTC:26:28012	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28012	28012		D.A-Moreno 4686	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Calypogeia	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Calypogeiaceae	Calypogeia		Género	sp.		Hepática
UPTC:26:28013	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28013	28013		D.A-Moreno 4687	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Terrícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Dicranaceae	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae			Familia			Musgo
UPTC:26:28014	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28014	28014		D.A-Moreno 4688	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Lejeuneaceae	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae			Familia			Hepática
UPTC:26:28015	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28015	28015		D.A-Moreno 4689	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Metzgeria	Plantae	Marchantiophyta	Jungermanniopsida	Metzgeriales	Metzgeriaceae	Metzgeria		Género	sp.		Hepática
UPTC:26:28016	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28016	28016		D.A-Moreno 4690	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Lejeuneaceae	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Lejeuneaceae			Familia			Hepática
UPTC:26:28017	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28017	28017		D.A-Moreno 4691	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Pilotrichaceae	Plantae	Bryophyta	Bryopsida	Hookeriales	Pilotrichaceae			Familia			Musgo
UPTC:26:28018	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28018	28018		D.A-Moreno 4692	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Madera en descomposición	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Bryaceae	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae			Familia			Musgo
UPTC:26:28019	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28019	28019		D.A-Moreno 4693	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Pottiaceae	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae			Familia			Musgo
UPTC:26:28020	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28020	28020		D.A-Moreno 4694	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Reofilo	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Brachytheciaceae	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae			Familia			Musgo
UPTC:26:28021	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28021	28021		D.A-Moreno 4695	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Terrícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Pottiaceae	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae			Familia			Musgo
UPTC:26:28022	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28022	28022		D.A-Moreno 4696	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Reofilo	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Warnstorfia fluitans	Plantae	Bryophyta	Bryopsida	Hypnales	Amblystegiaceae	Warnstorfia	fluitans	Especie		(Hedw.) Loeske.	Musgo
UPTC:26:28023	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28023	28023		D.A-Moreno 4697	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Lophocoleaceae	Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Lophocoleaceae			Familia			Hepática
UPTC:26:28024	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28024	28024		D.A-Moreno 4698	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Pottiaceae	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae			Familia			Musgo
UPTC:26:28025	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28025	28025		D.A-Moreno 4699	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Daltoniaceae	Plantae	Bryophyta	Bryopsida	Hookeriales	Daltoniaceae			Familia			Musgo
UPTC:26:28026	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28026	28026		D.A-Moreno 4700	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Frullania	Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Frullaniaceae	Frullania		Género	sp.		Hepática
UPTC:26:28027	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28027	28027		D.A-Moreno 4701	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Cortícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Sematophyllaceae	Plantae	Bryophyta	Bryopsida	Hypnales	Sematophyllaceae			Familia			Musgo
UPTC:26:28028	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28028	28028		D.A-Moreno 4702	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Campylopus	Plantae	Bryophyta	Bryopsida	Dicranales	Leucobryaceae	Campylopus		Género	sp.		Musgo
UPTC:26:28029	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28029	28029		D.A-Moreno 4703	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Terrícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Campylopus	Plantae	Bryophyta	Bryopsida	Dicranales	Leucobryaceae	Campylopus		Género	sp.		Musgo
UPTC:26:28030	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28030	28030		D.A-Moreno 4704	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Orthotrichaceae	Plantae	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae			Familia			Musgo
UPTC:26:28031	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28031	28031		D.A-Moreno 4705	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Pottiaceae	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae			Familia			Musgo
UPTC:26:28032	Evento	es	891.800.330-1	Universidad Pedagógica y Tecnológica de Colombia (UPTC)	Herbario UPTC	UPTC	HumanObservation	UPTC:26:28032	28032		D.A-Moreno 4706	D. A. Moreno | M. R. Escobar-Alba	1	Presente	Seco	En colección		Colecta general		8 Horas/ día	2019-05-17	8:00/16:00	2019	05	17	Páramo	Saxícola	SA	Colombia	CO	Boyacá	Tasco	Vereda Santa Bárbara		3862	3862	3862	5°50'17.1''N | 72°42'34.2''W	5°50'17.1''N	72°42'34.2''W	Grados minutos segundos	WGS84	5.8380833	-72.7095	WGS84	D. A. Moreno			Campylopus	Plantae	Bryophyta	Bryopsida	Dicranales	Leucobryaceae	Campylopus		Género	sp.		Musgo
